id,statement,statement_clean,label,label_3class,label_encoded,speaker,party,subject,credibility_score,lie_rate,history_total,is_politician
673.json,"Today, we import triple the amount of oil than we had on the day Senator McCain took office.",today import triple amount oil than day senator mccain took office,true,real,2,barack-obama,democrat,energy,0.6829,0.1691,473.0,1
8351.json,"Shutdowns are a normal part of the constitutional process, with 12 shutdowns under Democratic House Speaker Tip ONeill and two during his own speakership.",shutdowns normal part constitutional process shutdowns under democratic house speaker tip oneill two during own speakership,half-true,nuanced,1,newt-gingrich,republican,"federal-budget,history,pundits",0.4167,0.3611,72.0,1
8292.json,"Since 2007, Texas has gained 440,000 people while Maryland has lost 20,000.",since texas gained people while maryland lost,half-true,nuanced,1,newt-gingrich,republican,"population,pundits,states",0.4167,0.3611,72.0,1
2565.json,Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of life-saving coverage such as mammograms.,state insurance commissioner candidate ralph hudgens fights hard strip women life saving coverage such mammograms,half-true,nuanced,1,mary-squires,democrat,"health-care,women",1.0,0.0,1.0,1
11888.json,"My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.",two appointments florida supreme court raul cantero kenneth bell earned reputations most consistent conservatives,mostly-true,real,2,jeb-bush,republican,legal-issues,0.6308,0.1077,65.0,1
7131.json,Says legislation supported by gay rights activists would strip mother and father from future Texas birth certificates.,legislation supported gay rights activists strip mother father future texas birth certificates,barely-true,nuanced,1,texas-values,none,"children,gays-and-lesbians,legal-issues",0.0,0.5,2.0,0
13338.json,Says Gerald Daugherty advocated lowering the penalty for crimes like strangulation in domestic violence cases because they just throw more people into the jail system.,gerald daugherty advocated lowering penalty crimes like strangulation domestic violence cases because just throw more people into jail system,barely-true,nuanced,1,david-holmes,democrat,"crime,criminal-justice",0.0,0.0,1.0,1
10498.json,"Mercury is used in vaccines, and there is no safe level of mercury.",mercury used vaccines there safe level mercury,pants-fire,fake,0,mike-adams,none,public-health,0.0,1.0,1.0,0
3402.json,Says four-year terms for City Council members are the norm in most cities of our size.,four year terms city council members norm most cities size,true,real,2,lee-leffingwell,democrat,city-government,0.8333,0.0,6.0,1
30.json,"Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.",tommy thompson father welfare reform creating groundbreaking wisconsin works program wisconsin became model national international reforms,true,real,2,tommy-thompson,republican,job-accomplishments,0.2917,0.4583,24.0,1
8172.json,We now sell more products made in America to the rest of the world than ever before.,now sell more products made america rest world than ever before,true,real,2,barack-obama,democrat,"corrections-and-updates,trade",0.6829,0.1691,473.0,1
6126.json,Theres no wildlife in the Arctic National Wildlife Refuge.,theres wildlife arctic national wildlife refuge,pants-fire,fake,0,dave-weldon,republican,"energy,environment",0.0,0.3333,3.0,1
12451.json,"Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbersand always at a larger margin than Secretary Clinton is.",right now every major poll national poll statewide poll done last month six weeks defeating trump often big numbersand always larger margin than secretary clinton,mostly-true,real,2,bernie-s,independent,"elections,polls",0.6774,0.129,93.0,0
3052.json,I have fought for our shared values without being an ideologue or a partisan,fought shared values without being ideologue partisan,barely-true,nuanced,1,chris-abele,none,candidates-biography,0.4444,0.3889,18.0,0
3605.json,The costs of cancer and all affiliated issues are over $20 billion a year to this state.,costs cancer all affiliated issues over billion year state,true,real,2,jim-keffer,republican,health-care,0.0,0.0,0.0,1
2519.json,On a cap-and-trade plan.,cap trade plan,false,fake,0,scott-bruun,republican,"cap-and-trade,climate-change,jobs",0.0,0.3333,3.0,1
13374.json,The left is blatantly attempting to disrupt Georgias elections.,left blatantly attempting disrupt georgias elections,false,fake,0,brian-kemp,republican,elections,0.0,1.0,2.0,1
10212.json,"Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.",obamas net neutrality proposalputs government charge determining internet pricing terms service what types products services delivered,half-true,nuanced,1,ted-cruz,republican,"government-regulation,technology",0.3063,0.3694,111.0,1
5632.json,President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.,president barack obama reduced cost prescription drugs nearly million americans,true,real,2,barack-obama,democrat,"health-care,medicare,message-machine-2012",0.6829,0.1691,473.0,1
10393.json,Tampa Bay isleading the state in jobs creation.,tampa bay isleading state jobs creation,barely-true,nuanced,1,bob-buckhorn,none,"economy,florida,jobs",0.5,0.1667,6.0,0
116.json,"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.",earmarked dollars doubled just since more than tripled last years,half-true,nuanced,1,john-mccain,republican,federal-budget,0.4658,0.3219,146.0,1
11593.json,Says Ted Cruz is a supporter of legalizing people that are in this country illegally and proposed giving them work permits.,ted cruz supporter legalizing people country illegally proposed giving work permits,false,fake,0,marco-rubio,republican,immigration,0.5194,0.2248,129.0,1
8973.json,"Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.",economy louisiana grown percent faster than national gdp even since national recession,mostly-true,real,2,bobby-jindal,republican,economy,0.8889,0.1111,9.0,1
967.json,On whether he wrote a provision that allowed AIG to dole out bonuses.,whether wrote provision allowed aig dole out bonuses,false,fake,0,chris-dodd,democrat,economy,1.0,0.0,6.0,1
5155.json,[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.,aclu atheists denver demanding nfl stop tim tebow praying sidelines,pants-fire,fake,0,john-depetro,talk-show-host,"civil-rights,human-rights,legal-issues,pundits,religion,sports",0.0,1.0,6.0,0
7004.json,"Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.",lois frankel spent over taxpayer money marble shower private bathroom own toilet,half-true,nuanced,1,adam-hasner,republican,"candidates-biography,city-budget,city-government,message-machine-2012",0.7273,0.0909,11.0,1
13498.json,"Wisconsin uses voting machines that are outlawed, they are illegal.",wisconsin uses voting machines outlawed illegal,pants-fire,fake,0,jill-stein,green,"elections,legal-issues,technology",0.0,1.0,2.0,0
8217.json,Half of Oregon university students are on Pell Grants.,half oregon university students pell grants,mostly-true,real,2,jim-francesconi,none,"education,poverty",0.6667,0.3333,3.0,0
7629.json,"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",uncompensated health care costs absorbed texas hospitals adding year texas private insurance rates,barely-true,nuanced,1,nelson-wolff,democrat,"health-care,public-health,state-budget,state-finances",0.0,0.0,1.0,1
5467.json,Invested $90 million in traffic fixes without raising taxes.,invested million traffic fixes without raising taxes,half-true,nuanced,1,lee-leffingwell,democrat,"city-budget,city-government,transportation",0.8333,0.0,6.0,1
9959.json,"Countries bombed: Obama 7, Bush 4",countries bombed obama bush,true,real,2,ryan-lizza,none,"foreign-policy,military",0.0,0.0,0.0,0
4894.json,U.S. Rep. Debbie Wasserman Schultz has blamed the Republicans for the creation of Hamas.,rep debbie wasserman schultz blamed republicans creation hamas,false,fake,0,karen-harrington,republican,israel,0.5,0.5,2.0,1
3551.json,"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.",report navy times percent army navy marines thought about attempting suicide,pants-fire,fake,0,tim-ryan,democrat,"afghanistan,military",0.8333,0.1667,6.0,1
4665.json,We cut property taxes by one-third in the state of Texas while Ive been governor.,cut property taxes one third state texas while ive governor,barely-true,nuanced,1,rick-perry,republican,"new-hampshire-2012,taxes",0.4545,0.3357,143.0,1
7166.json,Says Texas passed a state Dream Act before any other state.,texas passed state dream act before any other state,mostly-true,real,2,juan-hernandez,republican,immigration,1.0,0.0,1.0,1
2891.json,"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",hillsboroughs public transportation commission rule cabbies wear socks mean please come,true,real,2,ronda-storms,republican,government-efficiency,0.0,0.0,0.0,1
12337.json,"Increasing the min. wage to $15 an hour would reduce spending on food stamps, public housing and other programs by over $7.6 billion a year.",increasing min wage hour reduce spending food stamps public housing other programs over billion year,barely-true,nuanced,1,bernie-s,independent,"economy,jobs",0.6774,0.129,93.0,0
12208.json,Says 80 journalists have been killed in Mexico in the last decade.,journalists killed mexico last decade,half-true,nuanced,1,jorge-ramos,journalist,public-safety,0.75,0.0,4.0,0
5827.json,U.S. Rep. Allen West wants to bring back earmarks.,rep allen west wants bring back earmarks,barely-true,nuanced,1,democratic-congressional-campaign-committee,democrat,"candidates-biography,federal-budget,trade",0.1765,0.5,34.0,1
7590.json,"Almost 1,000 people a day are moving to Florida because they are more free here than they are in some other states.",almost people day moving florida because more free here than some other states,barely-true,nuanced,1,will-weatherford,republican,"economy,population",0.5833,0.25,12.0,1
7693.json,Texas ranks 49th in per-pupil funding among the states.,texas ranks per pupil funding among states,mostly-true,real,2,texas-association-school-boards,none,"education,state-budget,state-finances,states",1.0,0.0,1.0,0
1408.json,The Washington Times ... pointed out that we had succeeded where previous administrations had failed on spending cuts.,washington times pointed out succeeded where previous administrations failed spending cuts,mostly-true,real,2,barack-obama,democrat,federal-budget,0.6829,0.1691,473.0,1
13482.json,"In Flint, Mich., the pipes still havent been replaced. The water is still poisoned.",flint mich pipes still havent replaced water still poisoned,half-true,nuanced,1,michael-moore,none,"infrastructure,public-health,urban,water",0.5,0.3571,14.0,0
1436.json,"Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.",here virginia opportunity become first state east coast explore produce oil natural gas offshore,true,real,2,bob-mcdonnell,republican,"energy,states",0.4815,0.2963,27.0,1
11812.json,Donald Trumps decision to skip the Fox News/Google debate in Des Moines is near unprecedented.,donald trumps decision skip fox news google debate des moines near unprecedented,half-true,nuanced,1,fox-news-channel,none,debates,1.0,0.0,1.0,0
821.json,The McCain campaign is roughly in the position where Vice President Gore was running against President Bush one week before the election of 2000.,mccain campaign roughly position where vice president gore running against president bush one week before election,false,fake,0,john-mccain,republican,elections,0.4658,0.3219,146.0,1
391.json,We've won twice as many states. We've won a greater share of the popular vote.,we've won twice many states we've won greater share popular vote,mostly-true,real,2,barack-obama,democrat,elections,0.6829,0.1691,473.0,1
1406.json,"Health care reform: Everything about it is going to raise costs, raise taxes and lower the quality of health care.",health care reform everything about going raise costs raise taxes lower quality health care,false,fake,0,kay-bailey-hutchison,republican,health-care,0.5385,0.3077,13.0,1
10304.json,The city of San Antonio reuses almost 40 percent of its water. You know how much the city of Austin reuses? About 5 percent. And thats not right. We can do better.,city san antonio reuses almost percent water know how much city austin reuses about percent thats not right better,barely-true,nuanced,1,steve-adler,democrat,"city-budget,city-government,water",0.5,0.3333,6.0,1
4199.json,"Since 1965, the United States has spent untold trillions yet the poverty rate hasnt budged.",since united states spent untold trillions yet poverty rate hasnt budged,false,fake,0,bill-oreilly,none,"federal-budget,history,poverty,pundits",0.4211,0.3684,19.0,0
11614.json,It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.,costs hell lot more money put somebody jail than send university virginia,half-true,nuanced,1,bernie-s,independent,"criminal-justice,education",0.6774,0.129,93.0,0
7015.json,New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.,new jersey only state union spent less higher education than beginning decade,false,fake,0,tom-kean-jr,republican,"education,state-finances",0.3333,0.6667,3.0,1
6680.json,Says he and Mitt Romney always said that we agree with the 2014 deadline for leaving Afghanistan.,mitt romney always agree deadline leaving afghanistan,mostly-true,real,2,paul-ryan,republican,"afghanistan,foreign-policy",0.5263,0.1404,57.0,1
1719.json,Says he said last year theres absolutely no reason for Texas to secede.,last year theres absolutely reason texas secede,mostly-true,real,2,rick-perry,republican,"history,states",0.4545,0.3357,143.0,1
9711.json,"Says U.S. Rep. Ann McLane Kuster used $293,000 of taxpayer money to send campaign mail.",rep ann mclane kuster used taxpayer money send campaign mail,barely-true,nuanced,1,marilinda-garcia,republican,"campaign-finance,ethics",0.5,0.0,2.0,1
2344.json,"Boccieri voted to spend a billion dollars an hour, every hour, for his first 50 days in office",boccieri voted spend billion dollars hour every hour first days office,barely-true,nuanced,1,jim-renacci,republican,"federal-budget,government-efficiency",0.3571,0.2857,14.0,1
6824.json,"While Mandels been busy traveling the country raising campaign money, he hasnt shown up for work.",while mandels busy traveling country raising campaign money hasnt shown work,half-true,nuanced,1,sherrod-brown,democrat,"government-efficiency,job-accomplishments,message-machine-2012,campaign-advertising",0.619,0.2381,21.0,1
12204.json,Says Bernie Sanders wants higher standards for toy guns than real guns.,bernie sanders wants higher standards toy guns than real guns,half-true,nuanced,1,hillary-clinton,democrat,"guns,legal-issues,voting-record",0.6561,0.1629,221.0,1
6120.json,A million people a year come into the U.S. legally. No other country even comes close to that figure.,million people year come into legally other country even comes close figure,true,real,2,marco-rubio,republican,immigration,0.5194,0.2248,129.0,1
3199.json,The majority of people in polls do not support Obamacare.,majority people polls not support obamacare,half-true,nuanced,1,bill-oreilly,none,"corrections-and-updates,health-care,polls,pundits",0.4211,0.3684,19.0,0
12532.json,"The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.",obama administration actively supporting qaeda iraq terrorist group became islamic state,pants-fire,fake,0,donald-trump,republican,"foreign-policy,military,terrorism",0.2699,0.5368,326.0,1
3544.json,Said Planned Parenthoods early objective was to help kill black babies before they came into the world.,planned parenthoods early objective help kill black babies before came into world,pants-fire,fake,0,herman-cain,republican,abortion,0.3077,0.5385,26.0,1
2370.json,"Due to the war in Iraq, 4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.",due war iraq americans dead severely wounded more than suffering serious health problems related post traumatic stress syndrome,half-true,nuanced,1,ron-paul,republican,iraq,0.5,0.3438,32.0,1
4177.json,"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.",when republicans charge actually expanded government health care prescription drug program,true,real,2,ron-paul,republican,"health-care,medicare,new-hampshire-2012",0.5,0.3438,32.0,1
8514.json,"Says administrator salaries were increased, but other school employees were left behind.",administrator salaries increased other school employees left behind,half-true,nuanced,1,portland-association-teachers,organization,"education,unions",0.5,0.0,2.0,0
5121.json,"In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.",first congress which packed framers required all ship owners provide medical insurance seamen congress also required seamen buy hospital insurance themselves congress enacted law mandating all able bodied citizens obtain firearm,mostly-true,real,2,einer-elhauge,columnist,"congress,government-regulation,health-care,history,supreme-court",1.0,0.0,1.0,0
2228.json,Ken Mercer wants Sean Hannity and James Dobson included in social studies texts.,ken mercer wants sean hannity james dobson included social studies texts,barely-true,nuanced,1,rebecca-bell-metereau,democrat,education,0.0,0.0,1.0,1
11404.json,On the Trans-Pacific Partnership.,trans pacific partnership,false,fake,0,hillary-clinton,democrat,trade,0.6561,0.1629,221.0,1
10122.json,Says Charlie Crist could have expanded Medicaid after the health care law passed but didnt.,charlie crist expanded medicaid after health care law passed didnt,barely-true,nuanced,1,rick-scott,republican,"florida,health-care,medicaid",0.5538,0.2308,130.0,1
7025.json,"Says that when Congressman (Steve) Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.",when congressman steve cohen took office unemployment rate percent unemployment rate shelby county reached percent,false,fake,0,george-flinn,republican,jobs,0.0,1.0,2.0,1
10499.json,Hispanic students in Florida perform the best of any Hispanic population in the United States.,hispanic students florida perform best any hispanic population united states,half-true,nuanced,1,jeb-bush,republican,"diversity,education",0.6308,0.1077,65.0,1
2856.json,"Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more.",president obama grown federal government payroll workers wants add more,half-true,nuanced,1,reince-priebus,republican,"federal-budget,jobs",0.4231,0.5,26.0,1
10921.json,"In Florida, when Jeb Bush was governor, state authorities conducted a deeply flawed purge of voters before the presidential election in 2000 and in2004 a plan to purge even more voters was headed off.",florida when jeb bush governor state authorities conducted deeply flawed purge voters before presidential election plan purge even more voters headed off,mostly-true,real,2,hillary-clinton,democrat,"diversity,elections",0.6561,0.1629,221.0,1
4806.json,Says that Sen. Sherrod Brown is out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemens cars at these protests on Wall Street and other places.,sen sherrod brown out there egging lot these protesters who spitting policemen going bathroom policemens cars these protests wall street other places,pants-fire,fake,0,josh-mandel,republican,"civil-rights,economy",0.375,0.4583,24.0,1
1440.json,"President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone.",president obama pledged through budget 'line line watch non defense spending spiraled out control increasing percent last year alone,barely-true,nuanced,1,john-boehner,republican,"federal-budget,stimulus",0.2885,0.4615,52.0,1
7424.json,Says Chuck Hagels nomination as defense secretary has been publicly celebrated by the Iranian government.,chuck hagels nomination defense secretary publicly celebrated iranian government,pants-fire,fake,0,ted-cruz,republican,"foreign-policy,military",0.3063,0.3694,111.0,1
9158.json,The Koch brothers are one of the biggest polluters in the country.,koch brothers one biggest polluters country,true,real,2,bob-beckel,democrat,environment,0.5,0.5,2.0,1
4112.json,Says Texas is the only state that exempts jet fuel from its state motor fuels tax.,texas only state exempts jet fuel state motor fuels tax,false,fake,0,eddie-rodriguez,democrat,"state-budget,state-finances,taxes",0.5,0.5,2.0,1
3916.json,Says the Austin City Council may give $4 million a year to subsidize a race track.,austin city council give million year subsidize race track,mostly-true,real,2,kathie-tovo,democrat,"city-budget,city-government,elections,taxes",0.6667,0.0,3.0,1
7636.json,Says A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.,baby coos county two times likely born mother who someone who used tobacco during pregnancy average baby born oregon,true,real,2,caddy-mckeown,democrat,"county-government,public-health,taxes",0.0,0.0,0.0,1
1841.json,ObamaCare will use your tax dollars to provide free Viagra to convicted rapists and registered sex offenders.,obamacare use tax dollars provide free viagra convicted rapists registered sex offenders,half-true,nuanced,1,cathie-adams,republican,health-care,0.25,0.5,4.0,1
1474.json,Says Sen. Kay Bailey Hutchison took 154 private flights all funded by taxpayers though commercial flights were readily available at a fraction of the cost.,sen kay bailey hutchison took private flights all funded taxpayers though commercial flights readily available fraction cost,half-true,nuanced,1,rick-perry,republican,ethics,0.4545,0.3357,143.0,1
6500.json,"From a standpoint of the county government, neither school system has received an increase in funding over the past six years.",standpoint county government neither school system received increase funding over past six years,true,real,2,martavius-jones,democrat,"county-budget,county-government,education,taxes",0.0,0.0,0.0,1
1552.json,On reconciliation,reconciliation,false,fake,0,barack-obama,democrat,"bipartisanship,health-care,legal-issues",0.6829,0.1691,473.0,1
10205.json,Every new Republican member of the U.S. Senate said they will vote to repeal and replace Obamacare.,every new republican member senate vote repeal replace obamacare,mostly-true,real,2,sean-hannity,none,health-care,0.3571,0.4286,14.0,0
11410.json,Virginias current unemployment rate is the lowest in Virginia history.,virginias current unemployment rate lowest virginia history,false,fake,0,richard-saslaw,democrat,"economy,jobs",0.0,0.6667,6.0,1
10221.json,Austin mayoral candidate Steve Adler admitted his law firm worked with Koch Industries for nearly a decade.,austin mayoral candidate steve adler admitted law firm worked koch industries nearly decade,mostly-true,real,2,mike-martinez,democrat,"candidates-biography,ethics,legal-issues",0.5,0.25,4.0,1
8064.json,"In Providence, R.I., its illegal to sell toothpaste and a toothbrush to the same customer on a Sunday.",providence illegal sell toothpaste toothbrush same customer sunday,pants-fire,fake,0,buzzfeed,none,"legal-issues,pop-culture",0.0,1.0,1.0,0
8236.json,Trenton politicians cut $1.3 billion from education.,trenton politicians cut billion education,true,real,2,new-jersey-education-association,none,"education,state-budget,state-finances",1.0,0.0,1.0,0
7479.json,The United States gives $8 million a day to Israel and gives that country a blank check.,united states gives million day israel gives country blank check,mostly-true,real,2,council-national-interest,none,"federal-budget,israel",1.0,0.0,1.0,0
10168.json,"A new Colorado law literally allows residents to print ballots from their home computers, then encourages them to turn ballots over to collectors.",new colorado law literally allows residents print ballots home computers then encourages turn ballots over collectors,false,fake,0,megyn-kelly,talk-show-host,elections,0.6667,0.3333,3.0,0
2184.json,"Georgia has lost more than 124,000 jobs and the unemployment rate has increased since the stimulus passed",georgia lost more than jobs unemployment rate increased since stimulus passed,mostly-true,real,2,republican-national-committee-republican,republican,stimulus,0.5333,0.2667,30.0,1
2598.json,"Says state Rep. Patrick Rose votes 90 percent with liberals, backed the states largest tax increase, proposed nearly $15 billion in government spending and supported Obama-style government-run health care system for Texas.",state rep patrick rose votes percent liberals backed states largest tax increase proposed nearly billion government spending supported obama style government run health care system texas,barely-true,nuanced,1,jason-isaac,republican,"candidates-biography,health-care,job-accomplishments,message-machine,state-budget,voting-record",0.25,0.25,4.0,1
3724.json,"During the Eisenhower Administration, not a single soldier died in combat.",during eisenhower administration not single soldier died combat,false,fake,0,doris-kearns-goodwin,none,"foreign-policy,history,military",0.0,1.0,1.0,0
8128.json,There is no planned air-conditioned restaurant out on the Lens.,there planned air conditioned restaurant out lens,mostly-true,real,2,kathleen-ford,democrat,"recreation,tourism",0.3333,0.6667,3.0,1
11421.json,On the Keystone XL pipeline,keystone pipeline,true,real,2,hillary-clinton,democrat,environment,0.6561,0.1629,221.0,1
12311.json,80 percent of North Carolinians are for the living wage,percent north carolinians living wage,mostly-true,real,2,william-barber,activist,"economy,income,labor,polls,poverty,small-business",1.0,0.0,1.0,0
11754.json,"California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, Give me your guns, Im rounding em up, she would.",california senator democratic senator dianne feinstein say america mrs america give guns rounding,false,fake,0,ted-cruz,republican,guns,0.3063,0.3694,111.0,1
9053.json,Says he has supported George Bush more than I have Barack Obama.,supported george bush more than barack obama,false,fake,0,nick-rahall,democrat,voting-record,0.0,1.0,1.0,1
8488.json,"The average fast food worker is 29, and most fast food workers are on some form of public assistance.",average fast food worker most fast food workers some form public assistance,mostly-true,real,2,bill-maher,independent,"jobs,workers",0.6667,0.3333,9.0,0
3810.json,"Says that in the last five years, Texas created more jobs than all other states combined.",last five years texas created more jobs than all other states combined,half-true,nuanced,1,texas-public-policy-foundation,none,"economy,jobs",1.0,0.0,1.0,0
4766.json,"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",sending much interest china paying entire peoples liberation army,false,fake,0,michele-bachmann,republican,"china,deficit,foreign-policy,military",0.1786,0.6786,56.0,1
13288.json,Not even Tim Kaine is willing to say he trusts Hillary Clinton.,not even tim kaine willing say trusts hillary clinton,pants-fire,fake,0,marco-rubio,republican,candidates-biography,0.5194,0.2248,129.0,1
8357.json,"At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.",time medicare part passed actually less popular than affordable care act according polls,mostly-true,real,2,barack-obama,democrat,"health-care,medicare,polls",0.6829,0.1691,473.0,1
6902.json,Says the U.S. Senate has passed a budget over the last three years called the Budget Control Act.,senate passed budget over last three years called budget control act,false,fake,0,robert-menendez,democrat,federal-budget,0.5,0.375,8.0,1
1218.json,Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,medicare officials treated humana aarp inconsistently how communicate seniors,false,fake,0,house-republicans,republican,"health-care,medicare",0.5,0.5,8.0,1
172.json,"Huckabee ""was one of the highest taxing governors that we had in this country and rivaling Bill Clinton in terms of the Cato ratings.""",huckabee one highest taxing governors country rivaling bill clinton terms cato ratings,mostly-true,real,2,fred-thompson,republican,taxes,0.5455,0.3636,11.0,1
12867.json,Interior deportations under Obama were down 40 percent and at a nine-year low.,interior deportations under obama down percent nine year low,mostly-true,real,2,national-border-patrol-council,none,immigration,1.0,0.0,1.0,0
2818.json,Rick Scott got a majority of the Hispanic vote in Florida.,rick scott got majority hispanic vote florida,barely-true,nuanced,1,jeb-bush,republican,"elections,immigration",0.6308,0.1077,65.0,1
11697.json,Recent news reports indicate DWI crashes in Austin dropped 23 percent since ridesharing entered the market.,recent news reports indicate dwi crashes austin dropped percent since ridesharing entered market,mostly-true,real,2,uber,none,"crime,transportation",1.0,0.0,2.0,0
10639.json,"In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs.",average grocery store roughly percent processed foods contain genetically modified organisms gmos,half-true,nuanced,1,donna-nesselbush,democrat,"agriculture,animals,consumer-safety,economy,environment,government-regulation,public-health,science,technology",1.0,0.0,1.0,1
826.json,"Obama would ""experiment with socialism.""",obama experiment socialism,pants-fire,fake,0,sarah-palin,republican,taxes,0.3061,0.5102,49.0,1
3307.json,A miscarriage is considered an abortion.,miscarriage considered abortion,half-true,nuanced,1,eddie-lucio-jr,democrat,abortion,1.0,0.0,2.0,1
10951.json,The Islamic State just built a hotel in Syria.,islamic state just built hotel syria,false,fake,0,donald-trump,republican,terrorism,0.2699,0.5368,326.0,1
8568.json,"In reality, there have been no problems whatsoever with the Texas voter ID law.",reality there problems whatsoever texas voter law,barely-true,nuanced,1,greg-abbott,republican,elections,0.4242,0.2424,33.0,1
6392.json,"An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.",april study found about percent ads election cycle negative due superpacs only percent through same period,mostly-true,real,2,sheldon-whitehouse,democrat,"campaign-finance,corporations,elections,campaign-advertising,transparency,unions",0.6429,0.2143,14.0,1
9571.json,Justice John Roberts Signed Off On Obamas Arrest For Treason.,justice john roberts signed off obamas arrest treason,pants-fire,fake,0,blog-posting,none,"criminal-justice,legal-issues",0.1026,0.8077,78.0,0
9732.json,All Aboard Florida is receiving millions in Florida taxpayer dollars.,all aboard florida receiving millions florida taxpayer dollars,half-true,nuanced,1,charlie-crist,democrat,"state-budget,transportation",0.6,0.1692,65.0,1
8091.json,Ninety million Americans either arent working or arent looking for work.,ninety million americans either arent working arent looking work,barely-true,nuanced,1,blog-posting,none,economy,0.1026,0.8077,78.0,0
10787.json,The Iranians are now saying that what were saying the deal is and what they understand it to be are two different things.,iranians now saying what saying deal what understand two different things,true,real,2,marco-rubio,republican,"foreign-policy,nuclear",0.5194,0.2248,129.0,1
3529.json,The federal government has 77 different means-tested social welfare programs.,federal government different means tested social welfare programs,true,real,2,jim-jordan,republican,"federal-budget,government-efficiency",0.8571,0.0,7.0,1
1357.json,To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law.,use money tarp fund manner being discussed white house congressional democrats violation law,half-true,nuanced,1,mike-pence,republican,"economy,federal-budget,stimulus",0.4857,0.2857,35.0,1
12481.json,"Because George Holding doesnt live in the congressional district hes running for, he doesnt experience the same things that we are all experiencing.",because george holding doesnt live congressional district hes running doesnt experience same things all experiencing,barely-true,nuanced,1,renee-ellmers,republican,"congress,debates,redistricting",0.0,0.0,1.0,1
11033.json,Weve cut the deficit by two-thirds.,weve cut deficit two thirds,mostly-true,real,2,barack-obama,democrat,"debt,deficit,economy,stimulus",0.6829,0.1691,473.0,1
9899.json,Says President Obama has never made a statement ... that he wanted a residual force left (in Iraq).,president obama never made statement wanted residual force left iraq,mostly-true,real,2,john-mccain,republican,"foreign-policy,iraq,islam,terrorism",0.4658,0.3219,146.0,1
8554.json,I have returned money every year since taking office.,returned money every year since taking office,true,real,2,lynn-westmoreland,republican,congressional-rules,0.6,0.2,5.0,1
7178.json,"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",last years weve witnessed dramatic expansion jailing immigrants about people detained annually about,true,real,2,aclu-georgia-foundation,none,immigration,0.0,0.0,0.0,0
2637.json,Says Maryellen OShaughnessy accepted campaign cash from indicted politician Jimmy Dimora.,maryellen oshaughnessy accepted campaign cash indicted politician jimmy dimora,false,fake,0,ohio-republican-party,republican,campaign-advertising,0.4286,0.2857,7.0,1
702.json,"Palin ""fired Wasilla's Police Chief because he 'intimidated' her.""",palin fired wasilla's police chief because 'intimidated',mostly-true,real,2,chain-email,none,crime,0.0756,0.8605,172.0,0
